增补2099源,#genre#
CGTN俄语,http://2099.tv12.xyz/269_1763049046906.m3u8
湖南卫视,http://2099.tv12.xyz/270_1763049046906.m3u8
浙江卫视,http://2099.tv12.xyz/271_1763049046906.m3u8
江苏卫视,http://2099.tv12.xyz/272_1763049046906.m3u8
东方卫视,http://2099.tv12.xyz/273_1763049046906.m3u8
安徽卫视,http://2099.tv12.xyz/274_1763049046906.m3u8
天津卫视,http://2099.tv12.xyz/275_1763049046906.m3u8
山东卫视,http://2099.tv12.xyz/276_1763049046906.m3u8
江西卫视,http://2099.tv12.xyz/277_1763049046906.m3u8
湖北卫视,http://2099.tv12.xyz/278_1763049046906.m3u8
辽宁卫视,http://2099.tv12.xyz/279_1763049046906.m3u8
黑龙江卫视,http://2099.tv12.xyz/280_1763049046906.m3u8
贵州卫视,http://2099.tv12.xyz/281_1763049046906.m3u8
四川卫视,http://2099.tv12.xyz/282_1763049046906.m3u8
河南卫视,http://2099.tv12.xyz/283_1763049046906.m3u8
云南卫视,http://2099.tv12.xyz/284_1763049046906.m3u8

阿里云北广高码,#genre#
CCTV-1,http://120.76.248.139/live/bfgd/4200000488.m3u8
CCTV-1,http://120.76.248.139/live/bfgd/4200000484.m3u8
西藏卫视,http://120.76.248.139/live/bfgd/4200000489.m3u8
CCTV-1HD,http://120.76.248.139/live/bfgd/4200000201.m3u8
CCTV-2HD,http://120.76.248.139/live/bfgd/4200000061.m3u8
CCTV-3HD,http://120.76.248.139/live/bfgd/4200000062.m3u8
CCTV-4HD,http://120.76.248.139/live/bfgd/4200000063.m3u8
CCTV-5HD,http://120.76.248.139/live/bfgd/4200000064.m3u8
CCTV-5+HD,http://120.76.248.139/live/bfgd/4200000246.m3u8
CCTV-6HD,http://120.76.248.139/live/bfgd/4200000065.m3u8
CCTV-7HD,http://120.76.248.139/live/bfgd/4200000127.m3u8
CCTV-8HD,http://120.76.248.139/live/bfgd/4200000066.m3u8
CCTV-9HD,http://120.76.248.139/live/bfgd/4200000128.m3u8
CCTV-10HD,http://120.76.248.139/live/bfgd/4200000129.m3u8
CCTV-11HD,http://120.76.248.139/live/bfgd/4200000130.m3u8
CCTV-12HD,http://120.76.248.139/live/bfgd/4200000131.m3u8
CCTV-13HD,http://120.76.248.139/live/bfgd/4200000067.m3u8
CCTV-14HD,http://120.76.248.139/live/bfgd/4200000132.m3u8
CCTV-15HD,http://120.76.248.139/live/bfgd/4200000133.m3u8
CCTV-17HD,http://120.76.248.139/live/bfgd/4200000204.m3u8
CGTN阿拉伯语,http://120.76.248.139/live/bfgd/4200000308.m3u8
CGTN西班牙语,http://120.76.248.139/live/bfgd/4200000306.m3u8
CGTN法语,http://120.76.248.139/live/bfgd/4200000307.m3u8
CGTN,http://120.76.248.139/live/bfgd/4200000134.m3u8
CGTN俄罗斯语,http://120.76.248.139/live/bfgd/4200000309.m3u8
中国教育1,http://120.76.248.139/live/bfgd/4200000135.m3u8
中国教育2,http://120.76.248.139/live/bfgd/4200000492.m3u8
CHC华诚影视,http://120.76.248.139/live/bfgd/4200000289.m3u8
安徽卫视HD,http://120.76.248.139/live/bfgd/4200000096.m3u8
北京卫视HD,http://120.76.248.139/live/bfgd/4200000083.m3u8
北京|北京纪实科教,http://120.76.248.139/live/bfgd/4200000113.m3u8
北京|北京卡酷少儿,http://120.76.248.139/live/bfgd/4200000106.m3u8
兵团卫视,http://120.76.248.139/live/bfgd/4200000124.m3u8
百姓健康,http://120.76.248.139/live/bfgd/4200000219.m3u8
北京|车迷频道,http://120.76.248.139/live/bfgd/4200000146.m3u8
重庆|重庆汽摩,http://120.76.248.139/live/bfgd/4200000168.m3u8
重庆卫视HD,http://120.76.248.139/live/bfgd/4200000107.m3u8
重温经典,http://120.76.248.139/live/bfgd/4200000635.m3u8
重温经典,http://120.76.248.139/live/bfgd/4200000636.m3u8
东方卫视HD,http://120.76.248.139/live/bfgd/4200000093.m3u8
东南卫视HD,http://120.76.248.139/live/bfgd/4200000483.m3u8
CCTV-电视指南,http://120.76.248.139/live/bfgd/4200000164.m3u8
中央新影-发现之旅,http://120.76.248.139/live/bfgd/4200000151.m3u8
CCTV-风云足球,http://120.76.248.139/live/bfgd/4200000225.m3u8
上海|法治天地,http://120.76.248.139/live/bfgd/4200000162.m3u8
广东卫视HD,http://120.76.248.139/live/bfgd/4200000092.m3u8
甘肃卫视HD,http://120.76.248.139/live/bfgd/4200000119.m3u8
河南|国学频道,http://120.76.248.139/live/bfgd/4200000169.m3u8
广西卫视HD,http://120.76.248.139/live/bfgd/4200000116.m3u8
贵州|天元围棋,http://120.76.248.139/live/bfgd/4200000633.m3u8
贵州卫视HD,http://120.76.248.139/live/bfgd/4200000101.m3u8
河南卫视HD,http://120.76.248.139/live/bfgd/4200000339.m3u8
湖北卫视HD,http://120.76.248.139/live/bfgd/4200000102.m3u8
河北卫视HD,http://120.76.248.139/live/bfgd/4200000108.m3u8
CCTV-怀旧剧场,http://120.76.248.139/live/bfgd/4200000224.m3u8
黑龙江卫视HD,http://120.76.248.139/live/bfgd/4200000095.m3u8
湖南|茶频道,http://120.76.248.139/live/bfgd/4200000181.m3u8
湖南|hnjykt,http://120.76.248.139/live/bfgd/4200000350.m3u8
湖南|快乐垂钓,http://120.76.248.139/live/bfgd/4200000228.m3u8
湖南卫视HD,http://120.76.248.139/live/bfgd/4200000086.m3u8
湖南|先锋乒羽,http://120.76.248.139/live/bfgd/4200000349.m3u8
北京|环球旅游,http://120.76.248.139/live/bfgd/4200000147.m3u8
吉林卫视HD,http://120.76.248.139/live/bfgd/4200000097.m3u8
江苏|财富天下,http://120.76.248.139/live/bfgd/4200000231.m3u8
江苏卫视HD,http://120.76.248.139/live/bfgd/4200000085.m3u8
辽宁|家庭理财,http://120.76.248.139/live/bfgd/4200000139.m3u8
江西卫视HD,http://120.76.248.139/live/bfgd/4200000098.m3u8
中央新影-老故事,http://120.76.248.139/live/bfgd/4200000166.m3u8
辽宁|鞍山新闻综合,http://120.76.248.139/live/bfgd/4200000274.m3u8
辽宁|辽宁北方,http://120.76.248.139/live/bfgd/4200000071.m3u8
辽宁|本溪新闻频道,http://120.76.248.139/live/bfgd/4200000312.m3u8
辽宁|朝阳新闻综合,http://120.76.248.139/live/bfgd/4200000282.m3u8
辽宁|辽宁导视,http://120.76.248.139/live/bfgd/4200000187.m3u8
辽宁|丹东新闻综合,http://120.76.248.139/live/bfgd/4200000276.m3u8
辽宁|大连新闻综合,http://120.76.248.139/live/bfgd/4200000273.m3u8
辽宁|辽宁都市,http://120.76.248.139/live/bfgd/4200000610.m3u8
辽宁|辽宁都市,http://120.76.248.139/live/bfgd/4200000068.m3u8
辽宁|抚顺新闻综合,http://120.76.248.139/live/bfgd/4200000275.m3u8
辽宁|阜新新闻综合,http://120.76.248.139/live/bfgd/4200000279.m3u8
辽宁|辽宁公共,http://120.76.248.139/live/bfgd/4200000481.m3u8
辽宁|辽宁公共,http://120.76.248.139/live/bfgd/4200000077.m3u8
辽宁|葫芦岛新闻综合,http://120.76.248.139/live/bfgd/4200000284.m3u8
辽宁|龙港综合,http://120.76.248.139/live/bfgd/4200000490.m3u8
辽宁|连山综合,http://120.76.248.139/live/bfgd/4200000491.m3u8
辽宁|辽宁经济,http://120.76.248.139/live/bfgd/4200000076.m3u8
辽宁|辽宁经济,http://120.76.248.139/live/bfgd/4200000480.m3u8
辽宁|辽宁教育青少,http://120.76.248.139/live/bfgd/4200000075.m3u8
辽宁|锦州新闻综合,http://120.76.248.139/live/bfgd/4200000277.m3u8
辽宁|辽阳新闻综合,http://120.76.248.139/live/bfgd/4200000280.m3u8
辽宁|盘锦新闻综合,http://120.76.248.139/live/bfgd/4200000283.m3u8
辽宁|辽宁生活,http://120.76.248.139/live/bfgd/4200000073.m3u8
辽宁|沈阳新闻,http://120.76.248.139/live/bfgd/4200000059.m3u8
辽宁|铁岭综合频道,http://120.76.248.139/live/bfgd/4200000281.m3u8
辽宁|辽宁体育,http://120.76.248.139/live/bfgd/4200000611.m3u8
辽宁卫视,http://120.76.248.139/live/bfgd/4200000141.m3u8
辽宁卫视,http://120.76.248.139/live/bfgd/4200000185.m3u8
辽宁卫视HD,http://120.76.248.139/live/bfgd/4200000058.m3u8
辽宁|营口新闻频道,http://120.76.248.139/live/bfgd/4200000278.m3u8
辽宁|辽宁影视剧,http://120.76.248.139/live/bfgd/4200000070.m3u8
海南卫视HD,http://120.76.248.139/live/bfgd/4200000473.m3u8
内蒙古卫视,http://120.76.248.139/live/bfgd/4200000110.m3u8
CCTV-女性时尚,http://120.76.248.139/live/bfgd/4200000176.m3u8
宁夏卫视,http://120.76.248.139/live/bfgd/4200000118.m3u8
青海卫视,http://120.76.248.139/live/bfgd/4200000111.m3u8
山东|收藏天下,http://120.76.248.139/live/bfgd/4200000155.m3u8
四川卫视HD,http://120.76.248.139/live/bfgd/4200000103.m3u8
山东教育卫视,http://120.76.248.139/live/bfgd/4200000112.m3u8
山东卫视HD,http://120.76.248.139/live/bfgd/4200000099.m3u8
北京|四海钓鱼,http://120.76.248.139/live/bfgd/4200000229.m3u8
书画频道,http://120.76.248.139/live/bfgd/4200000180.m3u8
CCTV-世界地理,http://120.76.248.139/live/bfgd/4200000177.m3u8
农林卫视,http://120.76.248.139/live/bfgd/4200000122.m3u8
陕西卫视HD,http://120.76.248.139/live/bfgd/4200000512.m3u8
山西卫视,http://120.76.248.139/live/bfgd/4200000109.m3u8
深圳卫视HD,http://120.76.248.139/live/bfgd/4200000100.m3u8
新疆卫视,http://120.76.248.139/live/bfgd/4200000150.m3u8
上海|新视觉HD,http://120.76.248.139/live/bfgd/4200000249.m3u8
北京|生态环境频道,http://120.76.248.139/live/bfgd/4200000149.m3u8
西藏卫视,http://120.76.248.139/live/bfgd/4200000121.m3u8
延边卫视,http://120.76.248.139/live/bfgd/4200000117.m3u8
云南卫视HD,http://120.76.248.139/live/bfgd/4200000482.m3u8
北京|优优宝贝,http://120.76.248.139/live/bfgd/4200000153.m3u8
北京|中华特产,http://120.76.248.139/live/bfgd/4200000158.m3u8
浙江卫视HD,http://120.76.248.139/live/bfgd/4200000094.m3u8
甘肃|INBM证券服务,http://120.76.248.139/live/bfgd/4200000601.m3u8
甘肃|纪录片,http://120.76.248.139/live/bfgd/4200000615.m3u8
甘肃|纪录片,http://120.76.248.139/live/bfgd/4200000286.m3u8
甘肃|纪录片,http://120.76.248.139/live/bfgd/4200000287.m3u8
甘肃|纪录片,http://120.76.248.139/live/bfgd/4200000288.m3u8
甘肃|购物,http://120.76.248.139/live/bfgd/4200000626.m3u8
甘肃|轮播,http://120.76.248.139/live/bfgd/4200000290.m3u8
甘肃|轮播,http://120.76.248.139/live/bfgd/4200000291.m3u8
甘肃|轮播,http://120.76.248.139/live/bfgd/4200000292.m3u8
甘肃|轮播,http://120.76.248.139/live/bfgd/4200000293.m3u8
甘肃|轮播,http://120.76.248.139/live/bfgd/4200000295.m3u8
甘肃|轮播,http://120.76.248.139/live/bfgd/4200000296.m3u8
甘肃|轮播,http://120.76.248.139/live/bfgd/4200000297.m3u8
甘肃|轮播,http://120.76.248.139/live/bfgd/4200000298.m3u8

阿里云北广2,#genre#
CCTV1高清,http://ygbh.site/php/bfgd.php?id=201
CCTV1高清,http://ygbh.site/php/bfgd.php?id=484
CCTV1高清,http://ygbh.site/php/bfgd.php?id=488
CCTV1高清,http://ygbh.site/php/bfgd.php?id=489
CCTV2高清,http://ygbh.site/php/bfgd.php?id=061
CCTV3高清,http://ygbh.site/php/bfgd.php?id=062
CCTV4高清,http://ygbh.site/php/bfgd.php?id=063
CCTV5高清,http://ygbh.site/php/bfgd.php?id=064
CCTV5+高清,http://ygbh.site/php/bfgd.php?id=246
CCTV6高清,http://ygbh.site/php/bfgd.php?id=065
CCTV7高清,http://ygbh.site/php/bfgd.php?id=127
CCTV8高清,http://ygbh.site/php/bfgd.php?id=066
CCTV9高清,http://ygbh.site/php/bfgd.php?id=128
CCTV10高清,http://ygbh.site/php/bfgd.php?id=129
CCTV11高清,http://ygbh.site/php/bfgd.php?id=130
CCTV12高清,http://ygbh.site/php/bfgd.php?id=131
CCTV13高清,http://ygbh.site/php/bfgd.php?id=067
CCTV14高清,http://ygbh.site/php/bfgd.php?id=132
CCTV15高清,http://ygbh.site/php/bfgd.php?id=133
CCTV17高清,http://ygbh.site/php/bfgd.php?id=204
CETV1高清,http://ygbh.site/php/bfgd.php?id=135
CETV2,http://ygbh.site/php/bfgd.php?id=492
CGTN,http://ygbh.site/php/bfgd.php?id=134
CGTN西班牙语,http://ygbh.site/php/bfgd.php?id=306
CGTN阿拉伯语,http://ygbh.site/php/bfgd.php?id=308
CGTN法语,http://ygbh.site/php/bfgd.php?id=307
CGTN,http://ygbh.site/php/bfgd.php?id=305
CGTN俄语,http://ygbh.site/php/bfgd.php?id=309
求索动物,http://ygbh.site/php/bfgd.php?id=287
求索生活,http://ygbh.site/php/bfgd.php?id=288
求索地理,http://ygbh.site/php/bfgd.php?id=286
国学频道,http://ygbh.site/php/bfgd.php?id=169
发现之旅,http://ygbh.site/php/bfgd.php?id=151
老故事,http://ygbh.site/php/bfgd.php?id=166
女性时尚,http://ygbh.site/php/bfgd.php?id=176
世界地理,http://ygbh.site/php/bfgd.php?id=177
江苏卫视高清,http://ygbh.site/php/bfgd.php?id=085
天津卫视高清,http://ygbh.site/php/bfgd.php?id=084
湖南卫视高清,http://ygbh.site/php/bfgd.php?id=086
北京卫视高清,http://ygbh.site/php/bfgd.php?id=083
黑龙江卫视高清,http://ygbh.site/php/bfgd.php?id=095
广东卫视高清,http://ygbh.site/php/bfgd.php?id=092
东方卫视高清,http://ygbh.site/php/bfgd.php?id=093
浙江卫视高清,http://ygbh.site/php/bfgd.php?id=094
吉林卫视高清,http://ygbh.site/php/bfgd.php?id=097
安徽卫视高清,http://ygbh.site/php/bfgd.php?id=096
江西卫视高清,http://ygbh.site/php/bfgd.php?id=098
山东卫视高清,http://ygbh.site/php/bfgd.php?id=099
贵州卫视高清,http://ygbh.site/php/bfgd.php?id=101
深圳卫视高清,http://ygbh.site/php/bfgd.php?id=100
湖北卫视高清,http://ygbh.site/php/bfgd.php?id=102
四川卫视高清,http://ygbh.site/php/bfgd.php?id=103
陕西卫视高清,http://ygbh.site/php/bfgd.php?id=512
河南卫视高清,http://ygbh.site/php/bfgd.php?id=339
海南卫视高清,http://ygbh.site/php/bfgd.php?id=473
云南卫视高清,http://ygbh.site/php/bfgd.php?id=482
东南卫视高清,http://ygbh.site/php/bfgd.php?id=483
重温经典,http://ygbh.site/php/bfgd.php?id=636
金鹰卡通,http://ygbh.site/php/bfgd.php?id=105
河南卫视,http://ygbh.site/php/bfgd.php?id=104
北京卡酷少儿,http://ygbh.site/php/bfgd.php?id=106
重庆卫视高清,http://ygbh.site/php/bfgd.php?id=107
山西卫视,http://ygbh.site/php/bfgd.php?id=109
河北卫视高清,http://ygbh.site/php/bfgd.php?id=108
青海卫视,http://ygbh.site/php/bfgd.php?id=111
内蒙古卫视,http://ygbh.site/php/bfgd.php?id=110
山东教育卫视,http://ygbh.site/php/bfgd.php?id=112
北京纪实科教高清,http://ygbh.site/php/bfgd.php?id=113
广西卫视高清,http://ygbh.site/php/bfgd.php?id=116
云南卫视,http://ygbh.site/php/bfgd.php?id=115
宁夏卫视,http://ygbh.site/php/bfgd.php?id=118
陕西卫视,http://ygbh.site/php/bfgd.php?id=114
延边卫视,http://ygbh.site/php/bfgd.php?id=117
甘肃卫视,http://ygbh.site/php/bfgd.php?id=119
西藏卫视,http://ygbh.site/php/bfgd.php?id=121
农林卫视,http://ygbh.site/php/bfgd.php?id=122
兵团卫视,http://ygbh.site/php/bfgd.php?id=124
家庭影院,http://ygbh.site/php/bfgd.php?id=289
家庭剧场,http://ygbh.site/php/bfgd.php?id=290
外国影院,http://ygbh.site/php/bfgd.php?id=291
综艺,http://ygbh.site/php/bfgd.php?id=292
午夜影院,http://ygbh.site/php/bfgd.php?id=294
纪录片,http://ygbh.site/php/bfgd.php?id=295
游戏竞技,http://ygbh.site/php/bfgd.php?id=296
儿童动漫,http://ygbh.site/php/bfgd.php?id=293
3D影院,http://ygbh.site/php/bfgd.php?id=298
绘画,http://ygbh.site/php/bfgd.php?id=297
家庭理财,http://ygbh.site/php/bfgd.php?id=139
网络棋牌,http://ygbh.site/php/bfgd.php?id=141
游戏竞技,http://ygbh.site/php/bfgd.php?id=142
天元围棋,http://ygbh.site/php/bfgd.php?id=144
电子体育,http://ygbh.site/php/bfgd.php?id=143
环球旅游,http://ygbh.site/php/bfgd.php?id=147
车迷频道,http://ygbh.site/php/bfgd.php?id=146
生态环境,http://ygbh.site/php/bfgd.php?id=149
优优宝贝,http://ygbh.site/php/bfgd.php?id=153
新疆卫视,http://ygbh.site/php/bfgd.php?id=150
收藏天下,http://ygbh.site/php/bfgd.php?id=155
中华特产,http://ygbh.site/php/bfgd.php?id=158
中国天气,http://ygbh.site/php/bfgd.php?id=160
法治天地,http://ygbh.site/php/bfgd.php?id=162
电视指南,http://ygbh.site/php/bfgd.php?id=164
家政,http://ygbh.site/php/bfgd.php?id=167
重庆汽摩,http://ygbh.site/php/bfgd.php?id=168
茶频道,http://ygbh.site/php/bfgd.php?id=181
书画,http://ygbh.site/php/bfgd.php?id=180
百姓健康,http://ygbh.site/php/bfgd.php?id=219
摄影频道,http://ygbh.site/php/bfgd.php?id=222
财富天下,http://ygbh.site/php/bfgd.php?id=231
四海钓鱼,http://ygbh.site/php/bfgd.php?id=229
先锋乒羽,http://ygbh.site/php/bfgd.php?id=349
证券服务,http://ygbh.site/php/bfgd.php?id=610
天元围棋,http://ygbh.site/php/bfgd.php?id=633
辽宁卫视高清,http://ygbh.site/php/bfgd.php?id=058
辽宁都市高清,http://ygbh.site/php/bfgd.php?id=610
辽宁北方高清,http://ygbh.site/php/bfgd.php?id=071
辽宁生活高清,http://ygbh.site/php/bfgd.php?id=073
辽宁体育高清,http://ygbh.site/php/bfgd.php?id=611
辽宁影视剧高清,http://ygbh.site/php/bfgd.php?id=070
辽宁教育青少高清,http://ygbh.site/php/bfgd.php?id=075
辽宁经济高清,http://ygbh.site/php/bfgd.php?id=076
辽宁公共高清,http://ygbh.site/php/bfgd.php?id=077
辽宁公共高清,http://ygbh.site/php/bfgd.php?id=481
辽宁经济高清,http://ygbh.site/php/bfgd.php?id=480
北方导视高清,http://ygbh.site/php/bfgd.php?id=187
辽宁新动漫,http://ygbh.site/php/bfgd.php?id=140
社区老年教育课堂,http://ygbh.site/php/bfgd.php?id=615
沈阳新闻综合高清,http://ygbh.site/php/bfgd.php?id=059
抚顺综合,http://ygbh.site/php/bfgd.php?id=275
鞍山新闻综合,http://ygbh.site/php/bfgd.php?id=274
大连新闻综合,http://ygbh.site/php/bfgd.php?id=273
丹东新闻综合,http://ygbh.site/php/bfgd.php?id=276
锦州新闻综合,http://ygbh.site/php/bfgd.php?id=277
阜新综合,http://ygbh.site/php/bfgd.php?id=279
辽阳新闻综合,http://ygbh.site/php/bfgd.php?id=280
营口新闻综合,http://ygbh.site/php/bfgd.php?id=278
盘锦新闻综合,http://ygbh.site/php/bfgd.php?id=283
铁岭新闻综合,http://ygbh.site/php/bfgd.php?id=281
朝阳新闻综合,http://ygbh.site/php/bfgd.php?id=282
本溪综合,http://ygbh.site/php/bfgd.php?id=312
连山区综合,http://ygbh.site/php/bfgd.php?id=491
龙港区综合,http://ygbh.site/php/bfgd.php?id=490
葫芦岛新闻综合,http://ygbh.site/php/bfgd.php?id=284

央视,#genre#
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw2
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx2
凤凰香港,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk
无线新闻,http://php.jdshipin.com/TVOD/iptv.php?id=tvbxw
无线新闻,http://php.jdshipin.com/TVOD/iptv.php?id=wxxwt
NOW新闻台,https://cdn.163189.xyz/163189/now

RTHK33 CCTV1港澳版,http://2099.tv12.xyz/43_1763047582609.m3u8#http://php.jdshipin.com/TVOD/iptv.php?id=rthk33

CCTV1,http://111.63.117.13:6060/030000001000/CCTV-1-HD/CCTV-1-HD.m3u8$秒¹#http://39.135.133.158:80/wh7f454c46tw3455208293_-437216677/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8$秒²高清#http://121.232.178.68:60001/tsfile/live/0001_1.m3u8$电信1
CCTV1,http://m.061899.xyz/mg/cctv1
CCTV2,http://m.061899.xyz/mg/cctv2
CCTV3,http://m.061899.xyz/mg/cctv3
CCTV4,http://m.061899.xyz/mg/cctv4
CCTV5,http://111.63.117.13:6060/030000001000/CCTV-5/CCTV-5.m3u8$秒¹#http://39.135.133.171:80/wh7f454c46tw2109407115_535986094/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8$秒²高清#http://175.8.213.7:8081/tsfile/live/0005_1.m3u8
CCTV5+,http://111.63.117.13:6060/030000001000/G_CCTV-5PLUS/G_CCTV-5PLUS.m3u8$秒①#http://39.135.133.153:80/wh7f454c46tw2186117699_234643195/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8$秒②高清
CCTV5,http://m.061899.xyz/mg/cctv5
CCTV6,http://m.061899.xyz/mg/cctv6
CCTV7,http://m.061899.xyz/mg/cctv7
CCTV8,https://migu.188766.xyz/?migutoken=cc1d267f3b4538f1dba7f8e4ed2135a5&id=CCTV8&type=yy
CCTV8,http://iptv.huuc.edu.cn/hls/cctv8hd.m3u8#http://m.061899.xyz/mg/cctv8
CCTV9,http://m.061899.xyz/mg/cctv9
CCTV10,http://m.061899.xyz/mg/cctv10
CCTV11,http://m.061899.xyz/mg/cctv11
CCTV12,http://m.061899.xyz/mg/cctv12
CCTV13,http://m.061899.xyz/mg/cctv13
CCTV14,http://m.061899.xyz/mg/cctv14
CCTV15,http://m.061899.xyz/mg/cctv15
CCTV16,https://shyd.695847.xyz/cms001/ch00000090990000001258/index.m3u8?IASHttpSessionId=RR4967720251014100028031761&ispcode=12
CCTV17,http://m.061899.xyz/mg/cctv17
CCTV4美洲,http://m.061899.xyz/mg/cctv4m
CCTV4欧洲,http://m.061899.xyz/mg/cctv4o
CETV-01,http://m.061899.xyz/mg/cetv1
CETV-02,http://m.061899.xyz/mg/cetv2
CETV-04,http://m.061899.xyz/mg/cetv4


CCTV1,http://39.134.64.87:6610/PLTV/88888888/224/3221226016/index.m3u8?IASHttpSessionId=
CCTV1,http://39.134.64.87:6610/PLTV/88888888/224/3221226559/index.m3u8?IASHttpSessionId=
CCTV2,http://39.134.64.87:6610/PLTV/88888888/224/3221225588/index.m3u8?IASHttpSessionId=
CCTV3,http://39.134.64.87:6610/PLTV/88888888/224/3221226021/index.m3u8?IASHttpSessionId=
CCTV4,http://39.134.64.87:6610/PLTV/88888888/224/3221226428/index.m3u8?IASHttpSessionId=

CCTV4欧洲,http://www.qinyin.eu.org:35455/mgtv/608807419.m3u8
CCTV4美洲,http://www.qinyin.eu.org:35455/mgtv/608807416.m3u8

CCTV4欧洲,http://221.232.15.232:4022/udp/239.69.1.231:11028
CCTV4欧洲,http://27.18.184.186:3520/udp/239.69.1.231:11028
CCTV4欧洲,http://27.24.89.56:5555/udp/239.69.1.231:11028
CCTV4美洲,http://221.232.15.232:4022/udp/239.69.1.232:11034
CCTV4美洲,http://27.18.184.186:3520/udp/239.69.1.232:11034
CCTV4美洲,http://27.24.89.56:5555/udp/239.69.1.232:11034

CCTV4欧洲,http://www.douzhicloud.site:35455/mgtv/608807419.m3u8
CCTV4美洲,http://www.douzhicloud.site:35455/mgtv/608807416.m3u8

CCTV5,http://39.134.64.87:6610/PLTV/88888888/224/3221226019/index.m3u8?IASHttpSessionId=
CCTV5+,http://111.63.117.13:6060/030000001000/G_CCTV-5PLUS/G_CCTV-5PLUS.m3u8$秒①#http://39.135.133.153:80/wh7f454c46tw2186117699_234643195/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8$秒②高清
CCTV6,http://39.134.64.87:6610/PLTV/88888888/224/3221226010/index.m3u8?IASHttpSessionId=
CCTV7,http://39.134.64.87:6610/PLTV/88888888/224/3221225733/index.m3u8?IASHttpSessionId=
CCTV8,http://39.134.64.87:6610/PLTV/88888888/224/3221226008/index.m3u8?IASHttpSessionId=
CCTV9,http://39.134.64.87:6610/PLTV/88888888/224/3221225734/index.m3u8?IASHttpSessionId=
CCTV10,http://39.134.64.87:6610/PLTV/88888888/224/3221226473/index.m3u8?IASHttpSessionId=
CCTV10,http://39.134.64.87:6610/PLTV/88888888/224/3221225730/index.m3u8?IASHttpSessionId=
CCTV11,http://39.134.64.87:6610/PLTV/88888888/224/3221226565/index.m3u8?IASHttpSessionId=
CCTV11,http://39.134.64.87:6610/PLTV/88888888/224/3221225597/index.m3u8?IASHttpSessionId=
CCTV12,http://39.134.64.87:6610/PLTV/88888888/224/3221225731/index.m3u8?IASHttpSessionId=
CCTV12,http://39.134.64.87:6610/PLTV/88888888/224/3221226568/index.m3u8?IASHttpSessionId=
CCTV13,http://39.134.64.87:6610/PLTV/88888888/224/3221226011/index.m3u8?IASHttpSessionId=
CCTV13,http://39.134.64.87:6610/PLTV/88888888/224/3221226537/index.m3u8?IASHttpSessionId=
CCTV13,http://39.134.64.87:6610/PLTV/88888888/224/3221226571/index.m3u8?IASHttpSessionId=
CCTV14,http://39.134.64.87:6610/PLTV/88888888/224/3221226591/index.m3u8?IASHttpSessionId=
